Feature Set,Confusion Matrix,Recall,Precision,F1-Score
"[np.int64(3)]",
[[15  0  0]
 [ 0 15  0]
 [ 0  2 13]]
,0.95556,0.96078,0.95536
"[np.int64(3), np.int64(2)]",
[[15  0  0]
 [ 0 15  0]
 [ 0  1 14]]
,0.97778,0.97917,0.97775
"[np.int64(3), np.int64(2), np.int64(0)]",
[[15  0  0]
 [ 0 15  0]
 [ 0  1 14]]
,0.97778,0.97917,0.97775
"[np.int64(3), np.int64(2), np.int64(0), np.int64(1)]",
[[15  0  0]
 [ 0 15  0]
 [ 0  1 14]]
,0.97778,0.97917,0.97775
