,KNeighborsClassifier
0,1.0
1,0.8666666666666667
2,1.0
3,0.9326599326599326
4,0.8666666666666667
5,0.8611111111111112
6,1.0
7,1.0
8,1.0
9,0.9326599326599326
10,1.0
11,0.9326599326599326
12,1.0
13,0.9326599326599326
14,0.9326599326599326
15,0.9326599326599326
16,0.9326599326599326
17,1.0
18,0.9326599326599326
19,1.0
20,0.797979797979798
21,1.0
22,1.0
23,1.0
24,0.8611111111111112
25,1.0
26,1.0
27,0.9326599326599326
28,0.9326599326599326
29,1.0
30,0.9326599326599326
31,0.9326599326599326
32,0.9326599326599326
33,0.9326599326599326
34,1.0
35,1.0
36,0.9326599326599326
37,0.9326599326599326
38,1.0
39,0.9326599326599326
40,0.8611111111111112
41,0.9326599326599326
42,0.9326599326599326
43,0.8611111111111112
44,0.797979797979798
45,1.0
46,0.9326599326599326
47,1.0
48,0.9326599326599326
49,1.0
50,1.0
51,1.0
52,1.0
53,0.9326599326599326
54,0.9326599326599326
55,1.0
56,0.9326599326599326
57,0.8666666666666667
58,0.9326599326599326
59,1.0
60,0.9326599326599326
61,0.8611111111111112
62,1.0
63,0.9326599326599326
64,0.9326599326599326
65,1.0
66,1.0
67,0.9326599326599326
68,0.8611111111111112
69,0.6825396825396827
70,1.0
71,1.0
72,0.9326599326599326
73,1.0
74,0.9326599326599326
75,0.9326599326599326
76,0.9326599326599326
77,0.9326599326599326
78,0.9326599326599326
79,0.9326599326599326
80,1.0
81,0.8666666666666667
82,0.9326599326599326
83,1.0
84,0.9326599326599326
85,0.9326599326599326
86,1.0
87,1.0
88,1.0
89,0.8666666666666667
90,1.0
91,0.7979797979797979
92,0.8611111111111112
93,0.9326599326599326
94,1.0
95,0.9326599326599326
96,0.9326599326599326
97,1.0
98,0.8611111111111112
99,1.0
