Feature Set,Confusion Matrix,Recall,Precision,F1-Score
"[np.int64(3)]",
[[4 0 0]
 [5 0 0]
 [5 0 0]]
,0.33333,0.09524,0.14815
"[np.int64(3), np.int64(2)]",
[[4 0 0]
 [5 0 0]
 [5 0 0]]
,0.33333,0.09524,0.14815
"[np.int64(3), np.int64(2), np.int64(0)]",
[[4 0 0]
 [5 0 0]
 [5 0 0]]
,0.33333,0.09524,0.14815
"[np.int64(3), np.int64(2), np.int64(0), np.int64(1)]",
[[4 0 0]
 [5 0 0]
 [5 0 0]]
,0.33333,0.09524,0.14815
